name,rating,cost,cuisine,rating_count_num,city
AB FOODS POINT,3.89446135316808,200.0,"Beverages,Pizzas",0.0,Abohar
Janta Sweet House,4.4,200.0,"Sweets,Bakery",50.0,Abohar
theka coffee desi,3.8,100.0,Beverages,100.0,Abohar
Singh Hut,3.7,250.0,"Fast Food,Indian",20.0,Abohar
GRILL MASTERS,3.89446135316808,250.0,"Italian-American,Fast Food",0.0,Abohar
Sam Uncle,3.6,200.0,Continental,20.0,Abohar
shere punjab veg,4.0,150.0,North Indian,100.0,Abohar
Shri Balaji Vaishno Dhaba,3.89446135316808,100.0,North Indian,0.0,Abohar
Hinglaj Kachori Bhandhar,4.2,100.0,"Snacks,Chaat",20.0,Abohar
yummy hub,3.89446135316808,200.0,Indian,0.0,Abohar
CHAWLA SAAB THE JUICE MASTER,3.89446135316808,300.0,"Juices,Beverages",0.0,Abohar
Sethi Milk Badam,4.2,100.0,"Sweets,Desserts",20.0,Abohar
Swastik Dhaba,3.89446135316808,200.0,North Indian,0.0,Abohar
Jodhpuri Kachori,3.89446135316808,100.0,Snacks,0.0,Abohar
Bharawan Da Dhaba,4.4,300.0,Indian,50.0,Abohar
Tandoori Nights,3.89446135316808,300.0,Tandoor,0.0,Abohar
Roll Express,4.0,200.0,Fast Food,20.0,Abohar
wah ji waah veg and non veg corner,3.89446135316808,200.0,"North Indian,Chinese",0.0,Abohar
Shri Balaji fast food and Variety store,3.89446135316808,100.0,Indian,0.0,Abohar
FOODY MOOD,4.7,300.0,"Fast Food,Chinese",20.0,Abohar
PUNJABI TADKA,3.89446135316808,700.0,"Punjabi,North Indian",0.0,Abohar
PUNJABI TADKA CHICKEN HUB,3.89446135316808,650.0,"North Indian,Tandoor",0.0,Abohar
Royal Chicken,4.2,200.0,"Mughlai,North Indian",20.0,Abohar
Just Baked,3.89446135316808,300.0,"Beverages,Pizzas",0.0,Abohar
Picado International Food,3.89446135316808,300.0,"Pizzas,Beverages",0.0,Abohar
PubG Cafe,3.89446135316808,200.0,"Chinese,Pizzas",0.0,Abohar
Verma Dhaba,3.89446135316808,300.0,Indian,0.0,Abohar
Fresh Food Cafe,3.89446135316808,150.0,North Indian,0.0,Abohar
NAVU PIZZA HOUSE,3.89446135316808,300.0,"Pizzas,Fast Food",0.0,Abohar
Domino's Pizza,4.4,400.0,Pizzas,20.0,Abohar
Joker Cafe,3.89446135316808,200.0,Indian,0.0,Abohar
Deepak Dhaba,3.89446135316808,350.0,"North Indian,Chinese",0.0,Abohar
FUN TIME (SHARMA DAIRY),3.89446135316808,300.0,Ice Cream,0.0,Abohar
Pari Healthy Food,3.89446135316808,300.0,"Pizzas,American",0.0,Abohar
Bhatti Ki Rasoi,3.89446135316808,200.0,North Indian,0.0,Abohar
SETHI PUNJABI RASOI,3.89446135316808,300.0,Indian,0.0,Abohar
Kurda Ram Desi Ghee Dhaba(Original & Famous),3.89446135316808,250.0,North Indian,0.0,Abohar
Paratha 24x7,3.89446135316808,150.0,"Indian,Thalis",0.0,Abohar
NIKKU VEG THALI,4.1,150.0,North Indian,100.0,Abohar
PARJAPATI FAST FOOD,3.89446135316808,200.0,"Fast Food,American",0.0,Abohar
Ganesh Fast Food,3.89446135316808,150.0,Chaat,0.0,Abohar
Mitran Da dhaba,3.89446135316808,200.0,"North Indian,Indian",0.0,Abohar
The Super Cafe,3.89446135316808,250.0,Beverages,0.0,Abohar
chacha sweets house,3.89446135316808,200.0,"Sweets,Beverages",0.0,Abohar
Cafe M,3.89446135316808,200.0,"Continental,Snacks",0.0,Abohar
Frankie roll junction,3.89446135316808,60.0,"North Indian,Fast Food",0.0,Abohar
G.K Dhaba,3.89446135316808,300.0,"North Indian,Thalis",0.0,Abohar
DAYA RAJ VEG VAISHNO DHABA AND  CATERS,3.89446135316808,300.0,"Chinese,Snacks",0.0,Abohar
JUICY BAR N RESTO,3.89446135316808,300.0,"Beverages,Pizzas",0.0,Abohar
FresHub,3.89446135316808,200.0,Beverages,0.0,Abohar
The Food Factory,3.89446135316808,200.0,"North Indian,South Indian",0.0,Abohar
MUNNA PUNJABI RASOI,3.89446135316808,400.0,"Chinese,Indian",0.0,Abohar
Grill Master By Sharda Anita Enterprises,3.89446135316808,250.0,"Fast Food,Italian",0.0,Abohar
Maruti Plaza,3.89446135316808,150.0,"Beverages,Snacks",0.0,Abohar
Nikku Chaap Cafe,3.89446135316808,200.0,"Indian,Chinese",0.0,Abohar
DK Food Point,3.89446135316808,100.0,Chaat,0.0,Abohar
TUMMY CLINIK FAST FOOD CORNER,3.89446135316808,200.0,"Snacks,Chinese",0.0,Abohar
Sagar Fast Food,3.89446135316808,200.0,"North Indian,Fast Food",0.0,Abohar
SUDESH FAST FOOD,4.0,250.0,"Bakery,Chinese",20.0,Abohar
Sonu Tandoori Paties,3.89446135316808,100.0,North Indian,0.0,Abohar
Bihari da vaishno dhaba,4.0,200.0,North Indian,20.0,Abohar
SHRI GANESH SWEET HOUSE,3.89446135316808,200.0,Indian,0.0,Abohar
Sharma Bakery,3.5,100.0,Bakery,20.0,Adilabad
IFC Restaurant,3.5,400.0,American,100.0,Adilabad
Ayappa Fast Food,3.6,100.0,Chinese,20.0,Adilabad
Hot N Chill Restaurant,3.5,150.0,"European,Italian",100.0,Adilabad
China Kitchen Fast Food,3.1,150.0,"Chinese,Fast Food",20.0,Adilabad
Devi Family Restaurant,3.4,400.0,"Indian,Chinese",50.0,Adilabad
Instaa Fast Food Center,3.89446135316808,250.0,"Chinese,Snacks",0.0,Adilabad
Hotel Radha Grand Family restaurant,3.5,200.0,Biryani,50.0,Adilabad
Hotel Surabhi Grand,3.7,300.0,"Indian,Chinese",100.0,Adilabad
Food Court,3.4,400.0,"Indian,Chinese",50.0,Adilabad
T-Ruchi,3.89446135316808,300.0,"Sweets,Snacks",0.0,Adilabad
CRUNCHY FAST FOOD CENTRE,3.89446135316808,150.0,"Chinese,Snacks",0.0,Adilabad
8AM TIFFINS,3.89446135316808,100.0,South Indian,0.0,Adilabad
Minerva Ice Cream,4.0,250.0,Desserts,20.0,Adilabad
Ayyappa Mess,3.89446135316808,200.0,South Indian,0.0,Adilabad
FRUITASTY,3.89446135316808,100.0,"Beverages,Desserts",0.0,Adilabad
Lotus Grand Family Restaurant,3.6,250.0,Biryani,50.0,Adilabad
Shaifan Tiffin Centre,3.89446135316808,110.0,"Street Food,Indian",0.0,Adilabad
Food On Wheels,3.89446135316808,100.0,South Indian,0.0,Adilabad
Sri Sai Mom's Kitchen Restaurant,3.3,400.0,Biryani,20.0,Adilabad
China Kitchen Restaurant,3.89446135316808,250.0,Chinese,0.0,Adilabad
Renuka Hotel,3.1,250.0,South Indian,20.0,Adilabad
Tanishq Family Restaurant,3.7,250.0,"Chinese,Indian",50.0,Adilabad
KMC Hotel,3.6,100.0,Biryani,20.0,Adilabad
RAMA JUICE AND SHAKES PARLOUR (LASSI N SHAKES ),3.89446135316808,150.0,"Indian,Beverages",0.0,Adilabad
Kwality Walls Frozen Dessert and Ice Cream Shop,4.8,300.0,Desserts,20.0,Adityapur
La Pino'z Pizza,4.1,200.0,"Pizzas,Fast Food",500.0,Adityapur
Chaw Box,3.3,300.0,"Chinese,North Indian",100.0,Adityapur
Cafe Coffee Day,3.7,300.0,"Beverages,Snacks",50.0,Adityapur
Aditya Inn Restaurant,3.6,150.0,"Biryani,Chinese",100.0,Adityapur
Taste Ville,3.89446135316808,100.0,"North Indian,Indian",0.0,Adityapur
Indian Bakery,3.3,200.0,Bakery,100.0,Adityapur
Mannat Bakers,3.89446135316808,300.0,Bakery,0.0,Adityapur
China Town,3.89446135316808,200.0,Chinese,0.0,Adityapur
The Onyx (Pure veg),3.8,300.0,"Indian,Chinese",100.0,Adityapur
KI & KA KITCHEN,3.89446135316808,200.0,"Chinese,North Indian",0.0,Adityapur
Magic Momo,3.89446135316808,200.0,"Chinese,Tandoor",0.0,Adityapur
